,Time,Cash and deposits,Loans and placements,Short-term securities,Long-term securities; Government; Australian,Long-term securities; Government; State and local,Long-term securities; Other,Equities and units in trusts,Land and buildings,Other assets,Assets overseas,Total assets
153,7-Sep,4625,3371,10428,2438,6412,13547,203707,2857,5225,11931,264540
154,7-Dec,4795,4782,11864,2667,5516,11889,199195,2759,5616,12589,261671
155,8-Mar,4651,3990,10464,3142,5306,13480,179706,2829,6178,12562,242309
156,8-Jun,4643,3975,8771,2880,6525,13615,173943,2710,7199,11839,236099
157,8-Sep,5835,3816,8323,2874,6902,13432,167389,2733,8433,11066,230803
158,8-Dec,8096,3565,8620,2704,6855,13722,144676,2777,10925,10670,212610
159,9-Mar,7159,3367,8017,2730,6993,14093,138487,2593,10544,9717,203700
160,9-Jun,7816,3594,10349,1145,5946,11088,149238,1722,9939,10057,210895
161,9-Sep,8062,2885,9050,1242,5699,12311,167641,1666,8155,10793,227503
162,9-Dec,8619,3353,7974,1560,5662,11833,171172,1675,7609,11189,230646
163,10-Mar,6248,2775,8527,2026,5333,11313,174521,1676,7661,11449,231529
164,10-Jun,7261,2337,9821,1896,5170,11447,165534,1719,7399,10896,223481
165,10-Sep,8042,2382,9167,2223,5042,10963,173953,1743,7169,9892,230577
166,10-Dec,7538,2405,8349,2203,4446,10943,177794,1767,6805,9096,231347
167,11-Mar,7582,1889,8129,2397,4162,12177,182830,1812,7292,11076,239345
168,11-Jun,8464,2284,6136,3396,3928,11603,179171,1829,7162,10722,234695
169,11-Sep,9560,2100,7140,3439,3988,11358,168540,1848,7973,11815,227760
170,11-Dec,9746,2171,6112,3866,4120,11307,170184,1876,8019,11078,228480
171,12-Mar,10172,3030,6682,3241,4861,12940,176248,1866,7647,11398,238086
172,12-Jun,11348,2696,6521,3426,5188,13110,171083,1871,8038,11865,235146
173,12-Sep,12302,2531,6613,3982,5167,13539,177860,1902,7854,11871,243622
174,12-Dec,12564,2187,5946,4183,5090,13685,182118,1487,7315,11506,246081
175,13-Mar,11335,2317,5582,4462,4760,12626,190409,1496,7919,11126,252032
176,13-Jun,12034,1953,5847,4820,4847,11434,194950,1520,7869,9932,255206
177,13-Sep,11945,2076,5267,5898,4466,11294,205080,1533,9130,9154,265843
178,13-Dec,12276,2812,5270,6761,4249,11387,211275,1553,8545,9634,273761
179,14-Mar,12399,2811,4859,7377,4290,11009,212420,1565,9973,8890,275592
180,14-Jun,12108,2199,5555,7201,4605,12408,218303,1597,8770,8446,281192
181,14-Sep,9794,2428,4823,7682,4496,11622,223204,1569,10177,8689,284483
182,14-Dec,10210,2639,5088,7714,4098,13478,228904,122,8679,9292,290224
183,15-Mar,9472,3211,4867,7756,4193,13788,241508,122,9453,10151,304521
184,15-Jun,9951,3394,4514,7345,3901,14620,236563,163,7914,9657,298022
185,15-Sep,10671,3680,4531,7683,3802,14334,230108,170,8827,8733,292539
186,15-Dec,10673,3611,4643,7710,3632,14586,235558,217,8511,8580,297723
187,16-Mar,10686,3681,4711,8895,3661,14049,229308,230,8866,7922,292008
188,16-Jun,11068,3581,4810,10156,3648,14017,226467,83,9147,8430,291407
